Key Word	Snowflake
ACCOUNT	reserved
ALL	reserved
ALTER	reserved
AND	reserved
ANY	reserved
AS	reserved
BETWEEN	reserved
BY	reserved
CASE	reserved
CAST	reserved
CHECK	reserved
COLUMN	reserved
CONNECT	reserved
CONNECTION	reserved
CONSTRAINT	reserved
CREATE	reserved
CROSS	reserved
CURRENT	reserved
CURRENT_DATE	reserved
CURRENT_TIME	reserved
CURRENT_TIMESTAMP	reserved
CURRENT_USER	reserved
DATABASE	reserved
DELETE	reserved
DISTINCT	reserved
DROP	reserved
ELSE	reserved
EXISTS	reserved
FALSE	reserved
FOLLOWING	reserved
FOR	reserved
FROM	reserved
FULL	reserved
GRANT	reserved
GROUP	reserved
GSCLUSTER	reserved
HAVING	reserved
ILIKE	reserved
IN	reserved
INCREMENT	reserved
INNER	reserved
INSERT	reserved
INTERSECT	reserved
INTO	reserved
IS	reserved
ISSUE	reserved
JOIN	reserved
LATERAL	reserved
LEFT	reserved
LIKE	reserved
LOCALTIME	reserved
LOCALTIMESTAMP	reserved
MINUS	reserved
NATURAL	reserved
NOT	reserved
NULL	reserved
OF	reserved
ON	reserved
OR	reserved
ORDER	reserved
ORGANIZATION	reserved
QUALIFY	reserved
REGEXP	reserved
REVOKE	reserved
RIGHT	reserved
RLIKE	reserved
ROW	reserved
ROWS	reserved
SAMPLE	reserved
SCHEMA	reserved
SELECT	reserved
SET	reserved
SOME	reserved
START	reserved
TABLE	reserved
TABLESAMPLE	reserved
THEN	reserved
TO	reserved
TRIGGER	reserved
TRUE	reserved
TRY_CAST	reserved
UNION	reserved
UNIQUE	reserved
UPDATE	reserved
USING	reserved
VALUES	reserved
VIEW	reserved
WHEN	reserved
WHENEVER	reserved
WHERE	reserved
WITH	reserved
ABORT	non-reserved
ACCESS	non-reserved
ACTION	non-reserved
ADD	non-reserved
AFTER	non-reserved
AGGREGATE	non-reserved
ALLOW	non-reserved
ALWAYS	non-reserved
ANTI	non-reserved
APPLY	non-reserved
ARRAY	non-reserved
ASC	non-reserved
ASOF	non-reserved
AT	non-reserved
